Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	19.363184	10.07694	58.0	9.0	19.363184	0.000515512	0.07927148	0.24504137	-0.22886942	4000	9.685755e-08	228.18443	-0.017122036	-150.21634	0.6849954	0.017600289	0.27375	8.0	5.26344895362854
1	24.993711	14.913375	118.0	9.0	24.993711	9.549432	0.55247426	10.896765	6.681667	8000	1.8626451e-08	173.40529	-0.012412857	-54.35511	0.69215155	0.015404151	0.25300002	14.0	8.608693838119507
2	31.38889	16.571142	103.0	10.0	31.38889	16.085337	1.8086358	18.177206	2.5617537	12000	3.7252903e-09	142.6666	-0.016228119	-23.862333	0.6760534	0.007580035	0.082499996	79.0	13.126108884811401
3	38.333332	23.3932	151.0	10.0	38.333332	18.336079	3.319372	21.792866	1.6811305	16000	-1.8626451e-09	240.10246	-0.01719388	-42.635307	0.6616637	0.016395137	0.12	18.0	16.428274393081665
4	60.06349	42.44768	186.0	14.0	60.06349	22.583307	4.072547	26.377905	2.4030094	20000	-2.9802322e-08	505.16974	-0.0179304	-147.64694	0.63858914	0.008436888	0.1055	79.0	20.9485502243042
5	110.51515	58.05542	200.0	18.0	110.51515	32.19236	5.5958776	35.921604	-0.69000685	24000	-2.6077032e-08	663.0609	-0.01397599	-227.45074	0.619997	0.0061002774	0.07925	79.0	25.447067499160767
6	146.5	50.480957	200.0	16.0	146.5	40.78995	9.272499	46.077305	5.0543737	28000	1.0244548e-08	470.565	-0.0075045624	-137.71017	0.5990405	0.0042178584	0.026250001	79.0	29.95438838005066
7	181.95238	38.816387	200.0	32.0	181.95238	48.63204	10.352097	53.749065	4.3689637	32000	-1.5832484e-08	415.72125	-0.0034201967	-112.976875	0.5926331	0.006486851	0.0475	79.0	34.48316216468811
8	182.9	36.495068	200.0	76.0	182.9	55.752678	8.504303	59.992764	18.074766	36000	1.8626451e-08	466.00232	-0.0042275847	-48.986137	0.59251255	0.0037301567	0.01075	79.0	38.961435079574585
9	195.95	11.668225	200.0	161.0	195.95	53.518402	14.149333	62.201336	-5.5291677	40000	2.0489097e-08	359.90213	-0.0040287436	-64.87908	0.5873077	0.003866056	0.0425	79.0	44.25187301635742
