Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	22.884394	13.032571	81.0	9.0	22.884394	0.004439376	0.19087169	0.60122275	-0.5213541	4000	1.9557774e-08	317.75653	-0.019175306	-193.56049	0.6911653	0.008930359	0.11225	79.0	6.791746377944946
1	28.947762	15.122049	93.0	10.0	28.947762	10.045986	0.7308247	12.485836	5.5193024	8000	-4.656613e-10	186.08345	-0.017002538	-61.402676	0.6842741	0.0064569125	0.055999998	79.0	11.17452597618103
2	37.617645	22.815561	126.0	10.0	37.617645	17.296736	1.6317652	19.088467	5.8065963	12000	-1.1175871e-08	245.2771	-0.01666807	-48.25357	0.66749376	0.00664463	0.063	79.0	15.60264801979065
3	57.82353	39.19669	200.0	11.0	57.82353	20.789192	6.9417515	25.31892	-22.60013	16000	-4.284084e-08	493.41663	-0.01483166	-121.46827	0.6512696	0.015447492	0.1515	17.0	18.948822259902954
4	89.5	51.572994	200.0	12.0	89.5	30.252325	4.996228	32.370625	-16.933813	20000	3.7252903e-09	620.2845	-0.013012018	-138.67241	0.62925166	0.005319547	0.047000002	79.0	23.401447534561157
5	127.8	55.997265	200.0	26.0	127.8	38.308083	5.192851	40.308914	-26.979626	24000	-1.1175871e-08	604.5696	-0.00958457	-112.11115	0.6200645	0.004461761	0.0255	79.0	27.907097101211548
6	153.29167	36.990402	200.0	51.0	153.29167	45.078976	5.725007	47.166153	-12.143703	28000	-1.8626451e-09	481.05463	-0.0055690994	-204.27783	0.610871	0.006785133	0.021000002	79.0	32.63033580780029
7	169.90909	39.851894	200.0	61.0	169.90909	48.720478	11.024241	54.0642	8.423062	32000	-2.0023435e-08	410.5063	-0.005184032	-97.69655	0.60733473	0.0055295643	0.0225	79.0	37.37070107460022
8	165.73914	31.02624	200.0	91.0	165.73914	47.876415	13.771336	59.619553	11.792758	36000	2.0489097e-08	228.46428	-0.004052641	-49.673523	0.6024986	0.0014315501	0.021499999	79.0	41.96488690376282
9	179.6	28.478765	200.0	92.0	179.6	52.242226	15.003002	63.251762	8.057732	40000	0.0	285.79578	-0.0049475012	-32.71983	0.5930391	0.0043775737	0.0375	79.0	47.69118046760559
