Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	27.751774	17.292707	98.0	9.0	27.751774	-0.0063361973	0.17627575	0.7414515	-0.85043746	4000	1.7881393e-07	469.9736	-0.014480265	-267.1504	0.6841745	0.0049295537	0.05275	79.0	6.678088188171387
1	34.486725	19.053308	106.0	11.0	34.486725	10.5573845	0.98586816	14.367095	3.109889	8000	-4.8428774e-08	259.8391	-0.010230608	-98.783875	0.6712722	0.015269717	0.16624999	13.0	10.066644191741943
2	59.079365	36.99305	175.0	13.0	59.079365	19.272778	2.305111	21.87421	-0.13419622	12000	-7.450581e-09	562.0475	-0.014160463	-173.86163	0.64975876	0.0028406167	0.051250003	79.0	14.640317678451538
3	75.29412	56.80869	200.0	11.0	75.29412	28.685768	1.1198415	29.459517	10.121994	16000	9.313226e-10	671.8875	-0.014385442	-112.39495	0.63966525	0.0065776864	0.047	79.0	19.153939962387085
4	122.21875	60.18084	200.0	19.0	122.21875	35.13168	1.8750274	36.03451	5.6801333	20000	2.9802322e-08	715.5163	-0.00878484	-163.00711	0.623917	0.0046395315	0.03275	79.0	23.654024362564087
5	156.91304	52.9511	200.0	26.0	156.91304	39.988216	8.113974	43.04811	-6.7130237	24000	8.8475645e-09	615.03687	-0.0057732547	-142.6999	0.6075034	0.00093230244	0.0275	79.0	28.14290189743042
6	178.38095	40.750664	200.0	50.0	178.38095	45.51696	9.447599	49.781425	1.4708748	28000	9.313226e-09	503.7009	-0.0025251056	-83.34497	0.5986173	0.0030247269	0.02125	79.0	32.67026329040527
7	186.71428	26.75131	200.0	95.0	186.71428	51.217564	9.572842	54.8324	1.8835493	32000	-9.313226e-10	431.42178	-0.003368642	-64.63427	0.58370996	0.002986615	0.0145	79.0	37.142154932022095
8	194.75	10.76046	200.0	157.0	194.75	48.789062	13.257655	58.44357	0.3842642	36000	-1.8626451e-09	351.36487	-0.0015541799	-70.98154	0.5817845	0.0026120339	0.033749998	79.0	41.65121507644653
9	192.85	30.038767	200.0	62.0	192.85	55.277477	10.210283	62.50411	1.751101	40000	1.0244548e-08	384.1527	-0.004220305	-45.65723	0.58069754	0.0036224425	0.03775	79.0	46.94843673706055
