Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	25.331211	15.696723	116.0	8.0	25.331211	0.0016971417	0.099282004	0.37170932	-0.37460074	4000	6.61239e-08	404.1454	-0.0132682845	-30.54554	0.6898175	0.006722185	0.05975	79.0	4.7660746574401855
1	31.564516	16.657965	104.0	11.0	31.564516	0.89120096	0.2293607	1.8305953	-1.0161158	8000	-1.2479722e-07	451.4854	-0.01138727	-63.316704	0.6762071	0.0041240156	0.043250002	79.0	7.459960699081421
2	39.765305	21.262596	118.0	12.0	39.765305	2.7417119	0.35713872	4.01221	1.4450564	12000	-1.8626451e-09	580.9135	-0.014396627	-104.772736	0.666772	0.0071619055	0.047250003	79.0	10.076907634735107
3	45.95294	34.37643	175.0	12.0	45.95294	5.5791445	0.5551486	6.9195924	2.7416747	16000	-5.5879354e-08	868.7915	-0.013581443	-178.48962	0.65213686	0.0048747687	0.03175	79.0	12.755949974060059
4	62.933334	46.804512	200.0	11.0	62.933334	9.628474	2.4471903	17.72613	-3.8511477	20000	-2.2351742e-08	1178.7338	-0.010605292	-222.6447	0.6360148	0.0021627482	0.02425	79.0	15.42296028137207
5	92.2381	46.5576	185.0	16.0	92.2381	14.053717	3.0418756	21.353897	-1.5659643	24000	0.0	1146.3038	-0.010246902	-238.46786	0.6303338	0.00433406	0.01875	79.0	18.025943756103516
6	121.23333	50.773148	200.0	36.0	121.23333	19.265965	1.2367098	23.44051	12.869961	28000	-2.9802322e-08	1276.9265	-0.0079168845	-256.58038	0.619748	0.003149378	0.017	79.0	20.639602422714233
7	125.066666	55.724876	200.0	18.0	125.066666	24.925676	1.6459341	30.060774	15.089052	32000	7.450581e-09	1100.9746	-0.006269777	-186.78847	0.6102421	0.0063550975	0.0255	79.0	23.2761127948761
8	151.20833	43.022263	200.0	74.0	151.20833	27.779545	2.1602252	32.634716	18.156761	36000	-5.2154064e-08	1052.847	-0.0035814198	-193.42697	0.6057378	0.0048122187	0.0195	79.0	26.014713048934937
9	155.95833	51.502007	200.0	45.0	155.95833	32.65128	0.62630093	33.965267	28.786179	40000	-1.1175871e-08	954.24493	-0.005619315	-150.27168	0.6041508	0.004529642	0.019	79.0	29.260021686553955
