Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	20.789474	10.091054	64.0	8.0	20.789474	-0.056219585	0.20483473	0.3794311	-1.0073363	4000	-5.3085387e-08	237.71529	-0.016814616	-17.432938	0.68645287	0.008099532	0.1145	79.0	4.353448867797852
1	28.22857	16.934471	99.0	9.0	28.22857	0.7100335	0.36298823	3.182826	0.3110642	8000	9.685755e-08	438.8053	-0.016494725	-34.187912	0.6850164	0.006659133	0.05675	79.0	6.957942247390747
2	31.758064	18.958092	104.0	9.0	31.758064	1.7585337	0.56000084	5.826941	1.255384	12000	2.9802322e-08	486.50684	-0.0124576	-53.4481	0.6770151	0.0039696423	0.035	79.0	9.525004386901855
3	39.0	21.190321	106.0	9.0	39.0	3.3398662	0.7020921	9.35353	2.4368744	16000	1.4901161e-08	550.2153	-0.007693664	-79.28357	0.66077244	0.0030986962	0.016	79.0	12.09690523147583
4	40.0101	18.743076	112.0	12.0	40.0101	5.628542	0.9174	12.869873	4.5021987	20000	2.6077032e-08	434.4351	-0.012504359	-75.42504	0.65436125	0.006164797	0.03175	79.0	14.738396406173706
5	50.18667	30.983736	185.0	12.0	50.18667	8.321272	1.3964307	18.835123	5.6446314	24000	5.5879354e-08	751.8805	-0.012450462	-141.28955	0.634139	0.004174893	0.0185	79.0	17.33983302116394
6	88.02273	44.469337	200.0	15.0	88.02273	12.567266	4.1694655	37.241276	2.8319035	28000	6.3329935e-08	1186.07	-0.011897964	-233.95453	0.6288307	0.0033029213	0.0255	79.0	19.94727611541748
7	81.25	54.927414	200.0	12.0	81.25	19.158808	5.235908	46.74564	9.468258	32000	1.3969839e-09	1069.4482	-0.010554653	-180.96901	0.63151574	0.005668884	0.02175	79.0	22.554965019226074
8	111.57576	61.921276	200.0	14.0	111.57576	23.16019	4.540884	46.903336	10.7825985	36000	2.514571e-08	1197.75	-0.005944079	-237.97977	0.61375123	0.0010612742	0.0035	79.0	25.1886785030365
9	138.59259	51.60337	200.0	41.0	138.59259	27.53318	7.428073	57.63508	9.958964	40000	-3.7252903e-09	1125.6282	-0.006067338	-264.40875	0.6080079	0.0035256557	0.0115	79.0	28.477417707443237
