Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	19.485	9.296224	53.0	8.0	19.485	0.029776001	0.30160567	0.8127646	-0.8581978	4000	-2.9802322e-08	214.74986	-0.01625853	-21.62083	0.6898451	0.011305702	0.1425	79.0	4.513041973114014
1	24.018404	12.033936	63.0	8.0	24.018404	0.93277353	0.68675107	2.686048	-1.3504524	8000	3.3527613e-08	278.88574	-0.013287034	-48.477276	0.69091785	0.007484319	0.096	79.0	7.1272523403167725
2	32.483334	19.347687	111.0	9.0	32.483334	2.8253686	0.6366602	5.1773996	-0.343243	12000	-6.891787e-08	460.54434	-0.013460854	-93.4256	0.67790115	0.0032047564	0.033999998	79.0	9.77606749534607
3	33.310345	19.206417	113.0	10.0	33.310345	5.62843	0.9206379	8.939727	-2.1486685	16000	1.8626451e-09	384.55005	-0.013000425	-87.012924	0.6707638	0.0063033234	0.03575	79.0	12.387420415878296
4	54.375	35.992065	148.0	16.0	54.375	8.985176	1.270074	14.043648	-0.011457652	20000	2.0489097e-08	813.6214	-0.012688637	-182.10431	0.65377355	0.0027883966	0.030499998	79.0	15.010510206222534
5	61.85246	41.810204	200.0	10.0	61.85246	13.731615	1.5771432	17.532747	4.3096304	24000	-1.0244548e-07	866.09766	-0.012250191	-179.94545	0.64152443	0.0032672281	0.02775	79.0	17.6270854473114
6	80.13043	51.562798	200.0	15.0	80.13043	18.835852	0.63582724	21.714943	16.390938	28000	2.2351742e-08	980.5957	-0.011647899	-196.48827	0.636832	0.0056135617	0.03025	79.0	20.251422882080078
7	144.07692	49.11284	200.0	34.0	144.07692	22.99725	3.0693986	30.505157	10.846187	32000	-1.4901161e-08	1270.5023	-0.0039855195	-300.57715	0.616175	0.0021319455	0.008	79.0	22.88202214241028
8	137.18518	57.80173	200.0	25.0	137.18518	29.820547	1.6963228	33.820675	25.027462	36000	-5.029142e-08	973.5578	-0.0055579646	-175.24393	0.6142689	0.003770292	0.012999999	79.0	25.480595350265503
9	144.92308	51.217426	200.0	43.0	144.92308	34.12315	1.4962155	38.212868	26.7937	40000	3.9115548e-08	806.5614	-0.0050487733	-124.388824	0.60793066	0.006218399	0.02575	79.0	28.953548192977905
