Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	20.730158	9.57489	61.0	8.0	20.730158	-0.0032530644	0.40896973	1.1118658	-1.2322626	4000	1.8626451e-08	227.55841	-0.01390304	-23.065952	0.69178796	0.0065403543	0.1175	79.0	4.839130401611328
1	24.397516	13.189625	96.0	9.0	24.397516	0.91804016	0.12782392	1.9805316	0.31908658	8000	1.3038516e-07	309.3895	-0.012367249	-50.57153	0.69097114	0.0047442853	0.0765	79.0	7.4704601764678955
2	30.155039	16.078995	106.0	9.0	30.155039	2.8210313	0.3346973	5.2896876	0.6597391	12000	8.568168e-08	368.62302	-0.012217097	-77.417046	0.68106914	0.0044109337	0.04525	79.0	10.163997650146484
3	33.560345	19.210848	102.0	10.0	33.560345	5.638701	0.5944092	7.887923	2.0646968	16000	-7.450581e-09	385.63397	-0.010673702	-88.054794	0.6677079	0.0043649888	0.0355	79.0	12.828636646270752
4	46.345238	28.89698	140.0	11.0	46.345238	8.967175	0.7748324	11.4212265	5.8781805	20000	-1.3038516e-07	581.42944	-0.012542265	-131.96777	0.6552788	0.0033622133	0.030749999	79.0	15.573345422744751
5	62.42857	40.620567	185.0	11.0	62.42857	12.604261	2.0217924	18.262978	4.822309	24000	-3.7252903e-08	974.6582	-0.012037242	-267.99475	0.63928103	0.001306714	0.024500001	79.0	18.323743104934692
6	96.0	46.388577	200.0	28.0	96.0	18.063633	3.4797285	26.162174	1.6985021	28000	6.519258e-09	969.04785	-0.008965744	-221.69168	0.62781435	0.0008636306	0.01425	79.0	20.958693027496338
7	104.37143	48.341694	200.0	16.0	104.37143	24.07413	1.9584143	28.49259	15.226991	32000	3.3527613e-08	871.59064	-0.008787721	-167.5954	0.6274545	0.0031712726	0.01725	79.0	23.563026905059814
8	135.96153	56.470196	200.0	27.0	135.96153	28.574316	0.95992804	30.928436	24.092884	36000	6.519258e-08	1054.0642	-0.004241107	-207.57056	0.6090579	0.0032710447	0.01275	79.0	26.185091972351074
9	156.91304	47.709187	200.0	26.0	156.91304	33.72039	0.7375175	35.48166	29.495764	40000	-3.7252903e-09	896.5626	-0.0043074237	-155.38513	0.6087427	0.0011521261	0.006	79.0	29.6248140335083
